List of the List of White Persons and Negroes on Diamond Estate in Princes Quarter the;;;;;;;;;;;
Property of Raapz Heyliger 12 December 1799;;;;;;;;;;;
White;Able Negroes;;D° half grow;d° under 10 years;Tradesmen;Births;New Negroes;;;;
Persons;Men;Women;Boys;Boys;Men;Girls;Received July this Year;;;;
Manager;Kingsale;Franky;Cock;William;Mulatto John;none;Boneface;;;;
Jno Van Brake;Quamina;Abba;Abram;Sam;Jules;Boys;Cato;;;;
his Lady;Quashy;Diamd Rosett;Dicky;Dicky;Bachus;Will;Daniel;;;;
1 Malechild;Jack Ratelipp;Jenny;James;York;Mason Dick;Francis 12;Joab;;;;
Miss;Pompey;Mary Ann;Thomas;Jacob;Piggy;Deaths;John;;;;
Juno;London;Pheria;Ham;Hokanny /6;Quashy;Prince;Joe;;;;
C?????;Prince;Jane;Aron;Girls;James;Cato;Cottine;;;;
Overseer;Alexander;Doet:. Rosetta;Charles;Bella;London;Herculus;Diana;;;;
Charles Goer;Newport;Sue;David;Cittey;Mushell;Quashy;Silve;;;;
;Ebbo Cyrus;Flora;Luke;Catharine;Phillipus;Mathew;Betto;;;;
;Diamd Tom;Jetta;Richard;Juno;Dick;Susanna;Abagal;;;;
;Mell;Doll;Sampson;Elsy;Hendrick/12;;Susanna;;;;
;Ebbos Ceasar;Pereon;Alfred;Phillis;House Negroes;;Ruth;;;;
;Diamd Scipio;Venus;Amos;Rachael;Men;;Debora;;;;
;L. Cyrus;Mysa;Allen;Sophy;None;;Hester.... 15;;;;
;Pero;Belinda;Andreio;Fanny;Women;;;;;;
;Nemrod;Pamilla;Anthony;Juggy;Rose;;;;;;
;L Tim;Lineta Sarah;Austin;Sally;Congo Sally /2;;;;;;
;Neptune;Creo Peumilla;Benjamin;Franky;Boys;;;;;;
;Chamont;D° Doll;Curt /20;Phbba;None;;;;;;
;L Scipio;Dorah;Girls;Christiana /14;Girls;;;;;;
;Phillip;Dutchess;Silny;;none;;;;;;
;Toney;Cré° Mary ann;Pia;;;;;;;;
;Apollo;Nancy;Bethea;;;;;;;;
;Abram;Mand;Dorinda;;;;;;;;
;Damond;Sophina;Hannah;;;;;;;;
;Fransera;Ancilla;Charlotte;;;;;;;;
;George;Sally;Joney;;;;;;;;
;Hendrick;Juggy;Margareth / 8;;;;;;;;
;Jupiter;Margrath;;;;;;;;;
;Joseph;Penny;;;;;;;;;
;Martin;Madlane;;;;;;;;;
;Profit London;Sarah;;;;;;;;;
;Mark;Caty;;;;;;;;;
;Sampson;Molly;;;;;;Mænd 48;;;
;William /30;Diana;;;;;;Drenge 20;;;
;;Nancy /37;;;;;;Ditto 6. 74;;;
;;;;;;;;Qvinde.....39;;;
;;;;;;;;Piger 22;;;
;;;;;;;;61;;;
;;;;;;;;135;;;
;;;;;;;;Födte 2/0;;;
;;;;;;;;Döde 5/1;;;
;;;;;;;;Bosaler 9;;;
;;;;;;;Recapitulation;;;;
;;;;;;;Men 80;;;;
;;;;;;;half grown boys 20;;;;
;;;;;;;d° under 10 years 8;;;;
;;;;;;;62 62;;;;
;;;;;;;Women 37;;;;
;;;;;;;d° half-Grown 8;;;;
;;;;;;;d° under 10 Year 14;;;;
;;;;;;;Field Negroes 121;;;;
;;;;;;;Tradesmen 12             12;;;;
;;;;;;;House boys 0        0;;;;
;;;;;;;D° Women 2;;;;
;;;;;;;D° Girls 0;;;;
;;;;;;;Taxable  74;;;;
;;;;;;;Total 135;;;;
;;;;;;;Deaths 6;;;;
;;;;;;;Births 2;;;;
;;;;;;;New Negroes Bought July this;;;;
;;;;;;;Year 15;;;;
;;;;;;;In Testameny of the Justness here of;;;;
;;;;;;;Soubscribe my hand St. Croix Date;;;;
;;;;;;;as before;;;;
;;;;;;;Raapz. Heyliger;;;;
;;;;;;;;;;;
