List of White Persons Residing on the Estate Good Hope Situation in West End Quarter No. 13, the property of;;;;;;;
John Smith, With all the Slaves Belonging to said Esta. or thereunto Rented.;;;;;;;
Negroe & Mulatto Slaves;;;;;;;
Managers;Able;Able;Half Grown;Half. grown;Births;Deaths;Recapitulation
Family;Men;Women;Boys Under;Girls & under;since 1798;Since 1798;
;;;6 years;6 yrs.;;;
;1. Abner;1. Barbary;1. Dick;1„ Franky;;1st. Cato;19 Men
;2. Aberdeen;2„ Cordeliah;2„ Sharper;2„ Betty;;2. Magdelane;16 women
;3„ Chance;3„ Cadah;3,, Thomas;3„ Charlotte;;;5 Boys
;4. Derham;4 „Celiah;4. John;4„ Duchess;;;9 Girls
;5. Freman;5„ Cumba;5. William;5„ Nanny;;;49 Total Number
;6 George;6„ Hester;;6„ Sebella;;;
;7„Harry;7„ Hester;;7„ Netta;;;
;8„ Jim;8, Mary;;8„ Sebinah;;;
;9. Jacob;2.° Margret;;9„ Dinah;;;
;10„ Kingsale;10, Judy;;;;;
;11„ London;11,, Judy;;;;;
;12 „ Luvey;12 „ Peg;;;;;
;13. Neptune;13„ Fattira;;;;;
;14„ Polledore;14 Fattimah;;;;;
;15. Roger;15„ Catharinna;;;;;
;16. Sylvester;16. Catharine;;;;;
;17 Simmon;;;;;;
;18„ Scipio;;;;;;
;19 „ Tom;;;;;;
;19 Men;16;5;9;0;2 Dead;
;16 women;;;;;;
;5 Boys;;;;;;
;9 Girls;;;;;;
;49 Total;;;;Total Number of forty Nine Slaves, large;;
;;;;;and small, which I hereby regarding their;;
;;;;;Number and Specifyed Quality Testify to be just;;
;;;;;this 15th. December 79;;
;;;;;Wm. Smith;;
